,attendance,away_conference,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,home_conference,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week,capacity,city,country_code,dome,elevation,grass,location,name,state,year_constructed,zip,rain,max_temp,min_temp,attendance_percentage,home_team_ranked_ind,away_team_ranked_ind
24,30301.0,SEC,"[3, 7, 7, 0]",17,0.6057389079626572,Kentucky,True,SEC,"[7, 14, 0, 0]",21,0.3942610920373428,Vanderbilt,400603937,False,2015,regular,2015-11-14,Vanderbilt Stadium,3973.0,11,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,75.09541511771995,0,0
25,32482.0,SEC,"[6, 10, 6, 3]",25,0.9935823280597711,Texas A&M,True,SEC,"[0, 0, 0, 0]",0,0.00641767194022896,Vanderbilt,400603930,False,2015,regular,2015-11-21,Vanderbilt Stadium,3973.0,12,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,80.5006195786865,0,0
26,30304.0,SEC,"[0, 0, 3, 10]",13,0.9338355439646768,South Carolina,True,SEC,"[3, 7, 0, 0]",10,0.06616445603532323,Vanderbilt,400868968,False,2016,regular,2016-09-01,Vanderbilt Stadium,3973.0,1,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,75.10285006195787,0,0
27,29627.0,Conference USA,"[10, 7, 7, 0]",24,0.4481520337771654,Middle Tennessee,False,SEC,"[5, 28, 0, 14]",47,0.5518479662228346,Vanderbilt,400868991,False,2016,regular,2016-09-10,Vanderbilt Stadium,3973.0,2,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,73.42503097893433,0,0
28,30565.0,SEC,"[0, 10, 0, 3]",13,0.7779518572335482,Florida,True,SEC,"[0, 3, 3, 0]",6,0.22204814276645185,Vanderbilt,400869017,False,2016,regular,2016-10-01,Vanderbilt Stadium,3973.0,5,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,30.0,,,75.74969021065675,0,1
29,31084.0,,"[14, 3, 0, 0]",17,0.002322064196192075,Tennessee State,False,SEC,"[7, 14, 7, 7]",35,0.9976779358038079,Vanderbilt,400869034,False,2016,regular,2016-10-22,Vanderbilt Stadium,3973.0,8,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,77.03593556381661,0,0
30,27763.0,SEC,"[10, 0, 0, 7]",17,0.0001352033796541141,Ole Miss,True,SEC,"[7, 7, 17, 7]",38,0.9998647966203459,Vanderbilt,400869066,False,2016,regular,2016-11-19,Vanderbilt Stadium,3973.0,12,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,20.0,,,68.80545229244113,0,0
31,38108.0,SEC,"[14, 17, 3, 0]",34,0.07893259811144915,Tennessee,True,SEC,"[7, 17, 7, 14]",45,0.9210674018885509,Vanderbilt,400869075,False,2016,regular,2016-11-26,Vanderbilt Stadium,3973.0,13,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,94.44361833952912,0,1
32,25802.0,,"[0, 0, 0, 0]",0,5.454216106981491e-06,Alabama A&M,False,SEC,"[14, 21, 7, 0]",42,0.999994545783893,Vanderbilt,400933853,False,2017,regular,2017-09-09,Vanderbilt Stadium,3973.0,2,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,63.9454770755886,0,0
33,40350.0,Big 12,"[0, 7, 0, 0]",7,0.009577336348406296,Kansas State,False,SEC,"[7, 0, 0, 7]",14,0.9904226636515937,Vanderbilt,400933863,False,2017,regular,2017-09-16,Vanderbilt Stadium,3973.0,3,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,100.0,0,1
